estado_desaparecido,situacion_actual,motivo_desaparicion,motivacion_desaparicion_observada
EN INVESTIGACIÓN,DESAPARECIDO,NO_APLICA,NO_APLICA
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,CAUSAS FAMILIARES,NO RELACIONADOS A VIOLENCIA
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,CAUSAS PERSONALES,CIRCUNSTANCIAL
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,CAUSAS PERSONALES,RELACIÓN AFECTIVA
DESAPARICIÓN INVOLUNTARIA,FALLECIDO,FALLECIDO,ASESINATO
DESAPARICIÓN INVOLUNTARIA,FALLECIDO,FALLECIDO,SIN_DATO
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,CAUSAS SOCIALES,DROGADICCIÓN
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,CAUSAS SOCIALES,ALCOHOLISMO
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,VIOLENCIA,VIOLENCIA FÍSICA
DESAPARICIÓN INVOLUNTARIA,FALLECIDO,FALLECIDO,MUERTE NATURAL
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,CAUSAS SOCIALES,DETENCIÓN
DESAPARICIÓN INVOLUNTARIA,FALLECIDO,FALLECIDO,ACCIDENTAL
EXTRAVÍO,ENCONTRADO,EXTRAVIADO - AUSENCIA TEMPORAL,ACCIDENTAL POR DESCUIDO
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,POSIBLE VINCULACIÓN A DELITO,ROBO (ESCOPOLAMINA U OTRA DROGA ALUCINÓGENA ALTAMENTE TÓXICA)
DESAPARICIÓN INVOLUNTARIA,FALLECIDO,FALLECIDO,FEMICIDIO
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,VIOLENCIA,VIOLENCIA ECONÓMICO PATRIMONIAL
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,VIOLENCIA,VIOLENCIA PSICOLÓGICA
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,CAUSAS FAMILIARES,RELACIÓN AFECTIVA
EXTRAVÍO,ENCONTRADO,EXTRAVIADO - DISCAPACIDAD / ENFERMEDADES / TRASTORNOS,DISCAPACIDAD INTELECTUAL
EXTRAVÍO,ENCONTRADO,EXTRAVIADO - DISCAPACIDAD / ENFERMEDADES / TRASTORNOS,DISCAPACIDAD SENSORIAL
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,CAUSAS SOCIALES,MIGRACIÓN/MOVILIDAD HUMANA
EXTRAVÍO,ENCONTRADO,EXTRAVIADO - DISCAPACIDAD / ENFERMEDADES / TRASTORNOS,DISCAPACIDAD PSICOSOCIAL
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,CAUSAS ECONÓMICAS,DEUDAS
EXTRAVÍO,ENCONTRADO,EXTRAVIADO - DISCAPACIDAD / ENFERMEDADES / TRASTORNOS,DISCAPACIDAD FÍSICA
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,VIOLENCIA,HOSTIGAMIENTO
EXTRAVÍO,ENCONTRADO,EXTRAVIADO - AUSENCIA TEMPORAL,HOSPITALIZADO
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,POSIBLE VINCULACIÓN A DELITO,SECUESTRO EXTORSIVO
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,CAUSAS SOCIALES,GRUPOS DELICTIVOS ORGANIZADOS/GDOS/PANDILLAS/MAFIAS/CARTELES
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,CAUSAS ACADÉMICAS,ACADÉMICO/ESCOLAR (RENDIMIENTO)
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,POSIBLE VINCULACIÓN A DELITO,VIOLACIÓN
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,FALLECIDO,ASESINATO
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,POSIBLE VINCULACIÓN A DELITO,ABUSO SEXUAL
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,VIOLENCIA,ACOSO/VIOLENCIA SEXUAL
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,FALLECIDO,SIN_DATO
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,CERRADO POR FISCALÍA / DELITO REFORMULADO,CERRADO POR FISCALÍA / DELITO REFORMULADO
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,POSIBLE VINCULACIÓN A DELITO,"EXTORSIÓN (NUEVAS MODALIDADES ""VACUNA"")"
DESAPARICIÓN VOLUNTARIA,FALLECIDO,FALLECIDO,SUICIDIO
EXTRAVÍO,ENCONTRADO,EXTRAVIADO - AUSENCIA TEMPORAL,ACCIDENTADO
DESAPARICIÓN INVOLUNTARIA,FALLECIDO,FALLECIDO,SECUESTRO EXTORSIVO (CON RESULTADO DE MUERTE)
DESAPARICIÓN INVOLUNTARIA,FALLECIDO,FALLECIDO,HOMICIDIO
EXTRAVÍO,ENCONTRADO,EXTRAVIADO - AUSENCIA TEMPORAL,"DESASTRES, AMENAZAS NATURALES Y FACTORES ANTRÓPICOS"
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,POSIBLE VINCULACIÓN A DELITO,TRÁFICO ILÍCITO DE MIGRANTES
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,DISCRIMINACIÓN,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,POSIBLE VINCULACIÓN A DELITO,TRATA DE PERSONAS
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,CAUSAS ACADÉMICAS,ACOSO ACADÉMICO/ESCOLAR
DESAPARICIÓN INVOLUNTARIA,FALLECIDO,FALLECIDO,SICARIATO
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,VIOLENCIA,VIOLENCIA SEXUAL DIGITAL
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,CAUSAS ECONÓMICAS,JUICIO DE ALIMENTOS
DESAPARICIÓN INVOLUNTARIA,FALLECIDO,FALLECIDO,HOMICIDIO ASESINATO
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,CAUSAS SOCIALES,ROBO (ESCOPOLAMINA U OTRA DROGA ALUCINÓGENA ALTAMENTE TÓXICA)
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,CAUSAS SOCIALES,"EXTORSIÓN (NUEVAS MODALIDADES ""VACUNA"")"
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,CAUSAS SOCIALES,DELINCUENCIA
EXTRAVÍO,ENCONTRADO,EXTRAVIADO - DISCAPACIDAD / ENFERMEDADES / TRASTORNOS,OTRAS DISCAPACIDADES / ENFERMEDADES / TRASTORNOS
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,CAUSAS SOCIALES,CIRCUNSTANCIAL
EXTRAVÍO,ENCONTRADO,EXTRAVIADO - AUSENCIA TEMPORAL,DETENIDO
EXTRAVÍO,ENCONTRADO,EXTRAVIADO - AUSENCIA TEMPORAL,PERSONA EXTRAVIADA
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,VIOLENCIA,VIOLENCIA SEXUAL
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,CAUSAS SOCIALES,PANDILLAS
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,FALLECIDO,ACCIDENTAL
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,FALLECIDO,HOMICIDIO
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,FALLECIDO,SUICIDIO
DESAPARICIÓN VOLUNTARIA,FALLECIDO,CAUSAS SOCIALES,DELINCUENCIA
DESAPARICIÓN VOLUNTARIA,ENCONTRADO,CAUSAS ACADÉMICAS,MALTRATO INSTITUCIONAL
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,FALLECIDO,MUERTE NATURAL
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,FALLECIDO,HOMICIDIO ASESINATO
DESAPARICIÓN INVOLUNTARIA,ENCONTRADO,FALLECIDO,FEMICIDIO
