circuito,subcircuito,distrito,zona,canton,codigo_canton,provincia,codigo_provincia
VICTORIA,VICTORIA 3,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
ENRÍQUEZ GALLO,ENRÍQUEZ GALLO 1,LIBERTAD SALINAS,ZONA 5,LA LIBERTAD,2402,SANTA ELENA,24
ALAUSÍ,ALAUSÍ 1,ALAUSÍ,ZONA 3,ALAUSÍ,602,CHIMBORAZO,6
UNIÓN LOJANA,UNIÓN LOJANA 2,HUAQUILLAS,ZONA 7,HUAQUILLAS,707,EL ORO,7
VISALTUR,VISALTUR 2,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
GARAY,GARAY 2,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
MAPASINGUE,MAPASINGUE 1,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
IÑAQUITO,IÑAQUITO 2,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
ARGELIA,ARGELIA 4,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
EL TAMBO,EL TAMBO 1,PATATE,ZONA 3,SAN PEDRO DE PELILEO,1807,TUNGURAHUA,18
PUERTO BOLÍVAR,PUERTO BOLÍVAR 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
UNIVERSITARIO,UNIVERSITARIO 1,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
PICOAZA,PICOAZA 1,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
SIMÓN BOLÍVAR,SIMÓN BOLÍVAR 2,AMBATO SUR,ZONA 3,AMBATO,1801,TUNGURAHUA,18
SUBURBIO,SUBURBIO 4,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
MULALO,MULALO 1,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
CATACOCHA,CATACOCHA 1,CATACOCHA,ZONA 7,PALTAS,1109,LOJA,11
SAQUISILÍ,SAQUISILÍ 2,DANSANTE,ZONA 3,SAQUISILÍ,506,COTOPAXI,5
CENTRO,CENTRO 2,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
COCA ORIENTE,COCA ORIENTE 2,ORELLANA LORETO,ZONA 2,FRANCISCO DE ORELLANA,2201,ORELLANA,22
MARTHA DE ROLDÓS,MARTHA DE ROLDÓS 2,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
JUAN EULOGIO,JUAN EULOGIO 3,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
YANTZAZA,YANTZAZA 1,YANTZAZA,ZONA 7,YANTZAZA,1905,ZAMORA CHINCHIPE,19
EL TRIUNFO ESTE,EL TRIUNFO ESTE 1,EL TRIUNFO BUCAY,ZONA 5,EL TRIUNFO,909,GUAYAS,9
CUSUBAMBA,CUSUBAMBA 1,CAYAMBE,ZONA 2,CAYAMBE,1702,PICHINCHA,17
UNIÓN DE BANANEROS,UNIÓN DE BANANEROS 2,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CONCORDIA NORTE,CONCORDIA NORTE 3,LA CONCORDIA,ZONA 4,LA CONCORDIA,2302,STO DGO DE LOS TSÁCHILAS,23
PORTOVIEJO,PORTOVIEJO 2,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
PALORA,PALORA 1,SANGAY,ZONA 6,PALORA,1404,MORONA SANTIAGO,14
LA MATRIZ,LA MATRIZ 1,AMBATO NORTE,ZONA 3,AMBATO,1801,TUNGURAHUA,18
EL CARMEN,EL CARMEN 2,EL CARMEN,ZONA 4,EL CARMEN,1304,MANABÍ,13
MENA,MENA 5,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
BELLAVISTA,BELLAVISTA 1,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
SACHAS,SACHAS 2,LA JOYA DE LOS SACHAS,ZONA 2,LA JOYA DE LOS SACHAS,2203,ORELLANA,22
GUARANDA SUR,GUARANDA SUR 1,GUARANDA,ZONA 5,GUARANDA,201,BOLÍVAR,2
ELOY ALFARO,ELOY ALFARO 1,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
SUBURBIO,SUBURBIO 2,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PICOAZA,PICOAZA 2,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
EL BOSQUE,EL BOSQUE 4,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
TERMINAL TERRESTRE,TERMINAL TERRESTRE 1,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
BARRIO NUEVO,BARRIO NUEVO 3,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
SAN MARTIN,SAN MARTIN 1,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
MONTE SINAÍ,MONTE SINAÍ 3,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
NUEVA PROSPERINA,NUEVA PROSPERINA 1,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
ARBOLITO,ARBOLITO 3,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
LA ESTACIÓN,LA ESTACIÓN 2,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
VICTORIA,VICTORIA 5,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
GUAMANÍ,GUAMANÍ 4,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
EL BATAN,EL BATAN 1,CUENCA SUR,ZONA 6,CUENCA,101,AZUAY,1
ECUATORIANA,ECUATORIANA 1,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
24 DE MAYO,24 DE MAYO 1,ORELLANA LORETO,ZONA 2,LORETO,2204,ORELLANA,22
URDESA,URDESA 5,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LAS CASAS,LAS CASAS 1,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
9 DE OCTUBRE,9 DE OCTUBRE 4,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CAYAMBE,CAYAMBE 1,CUENCA SUR,ZONA 6,CUENCA,101,AZUAY,1
APOLO,APOLO 1,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
DIVINO NIÑO,DIVINO NIÑO 1,QUEVEDO,ZONA 5,QUEVEDO,1205,LOS RÍOS,12
PUERTO QUITO SUR,PUERTO QUITO SUR 2,NOROCCIDENTE,ZONA 2,PUERTO QUITO,1709,PICHINCHA,17
BATALLÓN DEL SUBURBIO,BATALLÓN DEL SUBURBIO 1,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
EL PLACER,EL PLACER 1,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
ARGELIA,ARGELIA 8,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
MOCHA,MOCHA 1,QUERO,ZONA 3,MOCHA,1804,TUNGURAHUA,18
ANCHAYACU,ANCHAYACU 2,ELOY ALFARO - ESM,ZONA 1,ELOY ALFARO,802,ESMERALDAS,8
GENERAL FARFÁN,GENERAL FARFÁN 1,LAGO AGRIO,ZONA 1,LAGO AGRIO,2101,SUCUMBÍOS,21
9 DE OCTUBRE,9 DE OCTUBRE 1,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
EMPALME CENTRO,EMPALME CENTRO 1,EMPALME,ZONA 5,EL EMPALME,908,GUAYAS,9
VENEZUELA,VENEZUELA 3,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CHUNCHI,CHUNCHI 1,ALAUSÍ,ZONA 3,CHUNCHI,605,CHIMBORAZO,6
QUISAPINCHA,QUISAPINCHA 1,AMBATO NORTE,ZONA 3,AMBATO,1801,TUNGURAHUA,18
CHILLOGALLO,CHILLOGALLO 3,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
SEVILLA DON BOSCO,SEVILLA DON BOSCO 1,MORONA,ZONA 6,MORONA,1401,MORONA SANTIAGO,14
CHICAL,CHICAL 1,TULCÁN,ZONA 1,TULCÁN,401,CARCHI,4
1 DE MAYO,1 DE MAYO 1,GUARANDA,ZONA 5,GUARANDA,201,BOLÍVAR,2
TEXTILERO,TEXTILERO 1,VALLE DEL AMANECER,ZONA 1,ANTONIO ANTE,1002,IMBABURA,10
JAMBELI CENTRO,JAMBELI CENTRO 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
TRONCAL CENTRO,TRONCAL CENTRO 1,LA TRONCAL,ZONA 6,LA TRONCAL,304,CAÑAR,3
GUALACEO,GUALACEO 1,GUALACEO,ZONA 6,GUALACEO,103,AZUAY,1
PUERTO HONDO,PUERTO HONDO 3,CEIBOS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
VALDEZ,VALDEZ 1,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
SANTIAGO DE MÉNDEZ,SANTIAGO DE MÉNDEZ 1,MÉNDEZ,ZONA 6,SANTIAGO,1405,MORONA SANTIAGO,14
PUERTO LÓPEZ,PUERTO LÓPEZ 1,JIPIJAPA,ZONA 4,PUERTO LÓPEZ,1319,MANABÍ,13
BUENA FE OESTE,BUENA FE OESTE 1,BUENA FE,ZONA 5,BUENA FE,1210,LOS RÍOS,12
BUENA FE OESTE,BUENA FE OESTE 2,BUENA FE,ZONA 5,BUENA FE,1210,LOS RÍOS,12
GONZÁLEZ,GONZÁLEZ 1,VALLE DEL AMANECER,ZONA 1,OTAVALO,1004,IMBABURA,10
CHILIBULO,CHILIBULO 4,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
SUBURBIO,SUBURBIO 3,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PANORAMA,PANORAMA 2,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
ELOY ALFARO,ELOY ALFARO 2,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
POLITÉCNICA,POLITÉCNICA 3,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
7 LAGOS,7 LAGOS 1,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
GUASMO,GUASMO 1,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
NUEVA VIDA,NUEVA VIDA 1,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
UNIÓN DE BANANEROS,UNIÓN DE BANANEROS 1,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PIFO,PIFO 2,TUMBACO,ZONA 9,QUITO,1701,PICHINCHA,17
QUITUMBE,QUITUMBE 4,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
LORETO,LORETO 1,ORELLANA LORETO,ZONA 2,LORETO,2204,ORELLANA,22
PORTETE,PORTETE 3,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LA UNIÓN,LA UNIÓN 1,GIRÓN,ZONA 6,SANTA ISABEL,108,AZUAY,1
FERROVIARIA,FERROVIARIA 1,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
GARAY,GARAY 1,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CAMARONES,CAMARONES 1,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
TRINITARIA NORTE,TRINITARIA NORTE 3,ESTEROS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
GUABILLO,GUABILLO 1,HUAQUILLAS,ZONA 7,ARENILLAS,702,EL ORO,7
MENA,MENA 3,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
SAN GABRIEL SUR,SAN GABRIEL SUR 1,MONTÚFAR,ZONA 1,MONTÚFAR,405,CARCHI,4
TURI,TURI 1,CUENCA SUR,ZONA 6,CUENCA,101,AZUAY,1
MONJAS COLLACOTO,MONJAS COLLACOTO 1,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
COCHAPAMBA,COCHAPAMBA 4,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
CARAPUNGO,CARAPUNGO 3,CALDERÓN,ZONA 9,QUITO,1701,PICHINCHA,17
LIGA CANTONAL,LIGA CANTONAL 1,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
GUAYTACAMA,GUAYTACAMA 2,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
CUMANDÁ,CUMANDÁ 1,PALLATANGA,ZONA 3,CUMANDÁ,610,CHIMBORAZO,6
ZURMI,ZURMI 1,PAQUISHA,ZONA 7,NANGARITZA,1903,ZAMORA CHINCHIPE,19
MOLINUCO,MOLINUCO 2,RUMIÑAHUI - MEJÍA,ZONA 2,RUMIÑAHUI,1705,PICHINCHA,17
BUCAY,BUCAY 1,EL TRIUNFO BUCAY,ZONA 5,GENERAL  ANTONIO ELIZALDE,927,GUAYAS,9
NARANCAY,NARANCAY 1,CUENCA SUR,ZONA 6,CUENCA,101,AZUAY,1
LA FLORIDA,LA FLORIDA 1,ROCAFUERTE,ZONA 4,TOSAGUA,1315,MANABÍ,13
SAN JUAN,SAN JUAN 4,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
CENTRO,CENTRO 1,ZAMORA,ZONA 7,ZAMORA,1901,ZAMORA CHINCHIPE,19
TERMINAL TERRESTRE,TERMINAL TERRESTRE 1,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
BARRIO NUEVO,BARRIO NUEVO 2,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
MALVINAS SUR,MALVINAS SUR 2,ESTEROS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
ANCONCITO,ANCONCITO 1,LIBERTAD SALINAS,ZONA 5,SALINAS,2403,SANTA ELENA,24
GUALLETURO,GUALLETURO 1,CAÑAR,ZONA 6,CAÑAR,303,CAÑAR,3
ATACAMES,ATACAMES 2,ATACAMES,ZONA 1,ATACAMES,806,ESMERALDAS,8
JUAN BAUTISTA AGUIRRE,JUAN BAUTISTA AGUIRRE 2,DAULE,ZONA 5,DAULE,906,GUAYAS,9
SAN MIGUEL,SAN MIGUEL 1,SAN MIGUEL,ZONA 5,SAN MIGUEL,205,BOLÍVAR,2
PALLATANGA,PALLATANGA 1,PALLATANGA,ZONA 3,PALLATANGA,608,CHIMBORAZO,6
PÁEZ,PÁEZ 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
SANTIAGO,SANTIAGO 1,SAN MIGUEL,ZONA 5,SAN MIGUEL,205,BOLÍVAR,2
LA ROLDÓS,LA ROLDÓS 3,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
VALLE HERMOSO,VALLE HERMOSO 3,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
SALINAS CENTRO,SALINAS CENTRO 3,LIBERTAD SALINAS,ZONA 5,SALINAS,2403,SANTA ELENA,24
SAN CARLOS,SAN CARLOS 1,QUEVEDO,ZONA 5,QUEVEDO,1205,LOS RÍOS,12
BATALLÓN DEL SUBURBIO,BATALLÓN DEL SUBURBIO 2,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SAN JUAN,SAN JUAN 1,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
UNIVERSITARIO,UNIVERSITARIO 1,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
AZOGUES NORTE,AZOGUES NORTE 1,AZOGUES,ZONA 6,AZOGUES,301,CAÑAR,3
LA CONDAMINE,LA CONDAMINE 1,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
TRINITARIA SUR,TRINITARIA SUR 3,ESTEROS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
VIRGEN DE FÁTIMA,VIRGEN DE FÁTIMA 1,YAGUACHI,ZONA 5,SAN JACINTO DE YAGUACHI,920,GUAYAS,9
BASTIÓN POPULAR SUR,BASTIÓN POPULAR SUR 3,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SANTA ROSA ESTE,SANTA ROSA ESTE 1,SANTA ROSA,ZONA 7,SANTA ROSA,712,EL ORO,7
MAGDALENA,MAGDALENA 3,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
EL CHAPARRAL,EL CHAPARRAL 1,EL CARMEN,ZONA 4,EL CARMEN,1304,MANABÍ,13
MALCHINGUI,MALCHINGUI 1,CAYAMBE,ZONA 2,PEDRO MONCAYO,1704,PICHINCHA,17
SAN FRANCISCO,SAN FRANCISCO 2,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
BAÑOS,BAÑOS 1,CUENCA SUR,ZONA 6,CUENCA,101,AZUAY,1
PANORAMA,PANORAMA 1,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
GALO PLAZA,GALO PLAZA 2,QUEVEDO,ZONA 5,QUEVEDO,1205,LOS RÍOS,12
POSORJA,POSORJA 1,PROGRESO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SHOPPING,SHOPPING 1,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
ATACAMES,ATACAMES 1,ATACAMES,ZONA 1,ATACAMES,806,ESMERALDAS,8
SAGRARIO,SAGRARIO 1,LOJA,ZONA 7,LOJA,1101,LOJA,11
RICAURTE,RICAURTE 2,CUENCA NORTE,ZONA 6,CUENCA,101,AZUAY,1
GUASMO,GUASMO 3,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
JOSÉGUANGO,JOSÉGUANGO 1,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
CISNE,CISNE 5,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
YARUQUÍ,YARUQUÍ 1,TUMBACO,ZONA 9,QUITO,1701,PICHINCHA,17
MENA DEL HIERRO,MENA DEL HIERRO 1,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
ROCAFUERTE,ROCAFUERTE 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
KENNEDY,KENNEDY 4,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
CAYAMBE SUR,CAYAMBE SUR 1,CAYAMBE,ZONA 2,CAYAMBE,1702,PICHINCHA,17
LA UNIÓN,LA UNIÓN 1,QUININDÉ,ZONA 1,QUININDÉ,804,ESMERALDAS,8
AZAYA,AZAYA 1,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
FORTIN,FORTIN 3,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
EL PLACER,EL PLACER 2,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
PANGUI,PANGUI 1,YANTZAZA,ZONA 7,EL PANGUI,1906,ZAMORA CHINCHIPE,19
LA LIBERTAD,LA LIBERTAD 1,HUAQUILLAS,ZONA 7,ARENILLAS,702,EL ORO,7
PORTOVIEJO,PORTOVIEJO 1,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
TARQUI,TARQUI 1,CUENCA SUR,ZONA 6,CUENCA,101,AZUAY,1
SANTA CRUZ,SANTA CRUZ 1,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
LOS CEREZOS,LOS CEREZOS 2,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
MALCHINGUI,MALCHINGUI 2,CAYAMBE,ZONA 2,PEDRO MONCAYO,1704,PICHINCHA,17
AEROPUERTO,AEROPUERTO 4,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
CENTRO HISTÓRICO,CENTRO HISTÓRICO 3,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
EL MIRADOR,EL MIRADOR 3,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
PLAN DE VIVIENDA,PLAN DE VIVIENDA 2,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
