sexo,rango_edad,etnia,nacionalidad
MUJER,NIÑOS(AS),AFRO,ECUADOR
MUJER,ADOLESCENTES,MESTIZO/A,ECUADOR
HOMBRE,ADULTO,MESTIZO/A,ECUADOR
HOMBRE,ADOLESCENTES,MESTIZO/A,ECUADOR
MUJER,ADULTO,MESTIZO/A,ECUADOR
HOMBRE,ADULTO MAYOR,MESTIZO/A,ECUADOR
MUJER,ADOLESCENTES,AFRO,ECUADOR
HOMBRE,NIÑOS(AS),AFRO,ECUADOR
MUJER,ADULTO,AFRO,ECUADOR
HOMBRE,NIÑOS(AS),MESTIZO/A,ECUADOR
MUJER,ADOLESCENTES,OTROS,ECUADOR
HOMBRE,ADOLESCENTES,AFRO,ECUADOR
MUJER,ADOLESCENTES,INDIGENA,ECUADOR
MUJER,ADULTO MAYOR,MESTIZO/A,ECUADOR
HOMBRE,ADULTO,MESTIZO/A,SIN_DATO
HOMBRE,ADOLESCENTES,INDIGENA,ECUADOR
HOMBRE,ADULTO,MULATO/A,ECUADOR
HOMBRE,ADULTO,MESTIZO/A,VENEZUELA
MUJER,NIÑOS(AS),MESTIZO/A,ECUADOR
HOMBRE,ADOLESCENTES,MESTIZO/A,VENEZUELA
MUJER,ADULTO,INDIGENA,ECUADOR
MUJER,ADULTO,MESTIZO/A,VENEZUELA
HOMBRE,NIÑOS(AS),MESTIZO/A,VENEZUELA
HOMBRE,ADULTO,INDIGENA,ECUADOR
MUJER,ADULTO MAYOR,MESTIZO/A,SIN_DATO
HOMBRE,ADULTO,MESTIZO/A,COLOMBIA
MUJER,ADULTO,BLANCO/A,ECUADOR
MUJER,ADOLESCENTES,MESTIZO/A,VENEZUELA
HOMBRE,NIÑOS(AS),INDIGENA,ECUADOR
MUJER,ADOLESCENTES,SIN_DATO,ECUADOR
HOMBRE,ADULTO,OTROS,COLOMBIA
HOMBRE,ADULTO,MONTUBIO/A,ECUADOR
HOMBRE,ADULTO,AFRO,ECUADOR
HOMBRE,ADULTO,BLANCO/A,ECUADOR
HOMBRE,ADOLESCENTES,OTROS,ECUADOR
HOMBRE,ADULTO MAYOR,MESTIZO/A,SIN_DATO
HOMBRE,ADULTO,MULATO/A,COLOMBIA
MUJER,ADULTO MAYOR,MESTIZO/A,REPUBLICA DOMINICANA
MUJER,ADOLESCENTES,OTROS,VENEZUELA
MUJER,ADULTO,OTROS,ECUADOR
MUJER,NIÑOS(AS),MESTIZO/A,PERU
MUJER,ADOLESCENTES,MONTUBIO/A,ECUADOR
